,spx index,ccmp index,xau curncy,npncre index,bcomtr index,luactruu index
,px_last,px_last,px_last,px_last,px_last,px_last
2010-10-29,1183.26,2507.41,1359.4,,295.826,2094.99
2010-11-30,1180.55,2498.23,1386.23,,294.7787,2077.99
2010-12-31,1257.64,2652.87,1421.4,1665.42,326.2875,2058.93
2011-01-31,1286.12,2700.08,1332.68,,329.5602,2063.03
2011-02-28,1327.22,2782.27,1411.33,,333.9035,2079.38
2011-03-31,1325.83,2781.07,1432.2,1721.4,340.7971,2076.6
2011-04-29,1363.61,2873.54,1563.7,,352.5991,2112.31
2011-05-31,1345.2,2835.3,1535.73,,334.7639,2142.82
2011-06-30,1320.64,2773.52,1500.18,1789.1,317.8776,2124.04
2011-07-29,1292.28,2756.38,1627.05,,327.2924,2177.6
2011-08-31,1218.89,2579.46,1825.55,,330.5607,2179.02
2011-09-30,1131.42,2415.4,1623.79,1848.1,281.8526,2184.58
2011-10-31,1253.3,2684.41,1714.7,,300.5066,2223.63
2011-11-30,1246.96,2620.34,1746.35,,293.8383,2180.05
2011-12-30,1257.61,2605.15,1564.91,1902.9,282.8255,2226.65
2012-01-31,1312.41,2813.84,1737.76,,289.8194,2275.95
2012-02-29,1365.68,2966.89,1696.76,,297.6407,2295.11
2012-03-30,1408.47,3091.57,1668.15,1952.1,285.3287,2272.94
2012-04-30,1397.91,3046.36,1664.75,,284.1211,2304.67
2012-05-31,1310.33,2827.34,1560.51,,258.1752,2322.07
2012-06-29,1362.16,2935.05,1597.45,2004.5,272.3567,2330.3
2012-07-31,1379.32,2939.52,1614.58,,289.9744,2397.35
2012-08-31,1406.58,3066.97,1691.85,,293.7393,2402.68
2012-09-28,1440.67,3116.23,1772.25,2051.4,298.7492,2419.55
2012-10-31,1412.16,2977.23,1720.65,,287.179,2450.71
2012-11-30,1416.18,3010.24,1714.98,,287.3272,2446.81
2012-12-31,1426.19,3019.51,1675.35,2103.5,279.8362,2445.25
2013-01-31,1498.11,3142.13,1663.7,,286.5446,2423.5
2013-02-28,1514.68,3160.19,1579.61,,274.8341,2442.16
2013-03-29,1569.19,3267.52,1597.5,2157.5,276.686,2442.63
2013-04-30,1597.57,3328.79,1476.71,,268.9637,2487.23
2013-05-31,1630.74,3455.91,1387.8,,262.9314,2428.94
2013-06-28,1606.28,3403.25,1234.53,2219.5,250.5353,2361.89
2013-07-31,1685.73,3626.37,1325.07,,253.9487,2381.57
2013-08-30,1632.97,3589.87,1395.27,,262.5888,2364.84
2013-09-30,1681.55,3771.48,1329.03,2277.0,255.8818,2381.27
2013-10-31,1756.54,3919.71,1323.06,,252.1034,2416.48
2013-11-29,1805.81,4059.89,1253.35,,250.0857,2411.69
2013-12-31,1848.36,4176.59,1201.64,2334.6,253.1865,2407.75
2014-01-31,1782.59,4103.88,1244.55,,253.9401,2451.39
2014-02-28,1859.45,4308.12,1326.39,,269.7739,2476.88
2014-03-31,1872.34,4198.99,1284.01,2398.6,270.8832,2478.53
2014-04-30,1883.95,4114.56,1291.6,,277.4815,2508.22
2014-05-30,1923.57,4242.62,1249.68,,269.5049,2542.51
2014-06-30,1960.23,4408.18,1327.33,2468.4,271.1121,2544.49
2014-07-31,1930.67,4369.77,1282.59,,257.6011,2543.07
2014-08-29,2003.37,4580.27,1287.32,,254.9088,2579.75
2014-09-30,1972.29,4493.39,1208.15,2533.4,239.0387,2542.53
2014-10-31,2018.05,4630.74,1172.94,,237.1171,2568.56
2014-11-28,2067.56,4791.63,1167.38,,227.4715,2585.87
2014-12-31,2058.9,4736.05,1184.37,2610.5,210.1242,2587.44
2015-01-30,1994.99,4635.24,1283.79,,203.1056,2665.94
2015-02-27,2104.5,4963.53,1213.18,,208.3382,2638.92
2015-03-31,2067.89,4900.89,1183.57,2703.7,197.6373,2647.34
2015-04-30,2085.51,4941.42,1184.37,,208.9695,2628.8
2015-05-29,2107.39,5070.03,1190.58,,203.3312,2611.64
2015-06-30,2063.11,4986.87,1172.35,2788.7,206.8436,2563.65
2015-07-31,2103.84,5128.28,1095.8,,184.8788,2580.95
2015-08-31,1972.18,4776.51,1134.93,,183.1802,2565.67
2015-09-30,1920.03,4620.17,1115.09,2874.7,176.9206,2584.8
2015-10-30,2079.36,5053.75,1142.11,,176.1312,2595.6
2015-11-30,2080.41,5108.67,1064.77,,163.3542,2589.92
2015-12-31,2043.94,5007.41,1061.1,2958.5,158.3135,2569.73
2016-01-29,1940.24,4613.95,1118.21,,155.6528,2578.84
2016-02-29,1932.23,4557.95,1238.67,,153.121,2599.67
2016-03-31,2059.74,4869.85,1232.75,3023.9,158.9728,2671.78
2016-04-29,2065.3,4775.36,1293.53,,172.5048,2708.36
2016-05-31,2096.96,4948.06,1215.32,,172.1789,2706.27
2016-06-30,2098.86,4842.67,1321.9,3085.4,179.2913,2767.19
2016-07-29,2173.6,5162.13,1351.28,,170.1268,2807.62
2016-08-31,2170.95,5213.22,1308.97,,167.129,2813.12
2016-09-30,2168.27,5312.0,1315.87,3139.9,172.3635,2806.15
2016-10-31,2126.15,5189.14,1277.21,,171.5215,2783.32
2016-11-30,2198.81,5323.68,1173.2,,173.8088,2708.65
2016-12-30,2238.83,5383.12,1147.5,3194.3,176.9417,2726.78
2017-01-31,2278.87,5614.79,1210.72,,177.1814,2735.18
2017-02-28,2363.64,5825.44,1248.44,,177.5513,2766.55
2017-03-31,2362.72,5911.74,1249.2,3243.7,172.8258,2760.12
2017-04-28,2384.2,6047.61,1268.28,,170.2237,2789.61
2017-05-31,2411.8,6198.52,1268.92,,167.9627,2821.69
2017-06-30,2423.41,6140.42,1241.61,3300.3,167.6399,2830.31
2017-07-31,2470.3,6348.12,1269.44,,171.4304,2851.01
2017-08-31,2471.65,6428.66,1321.43,,172.1214,2873.15
2017-09-29,2519.36,6495.96,1279.75,3356.3,171.8648,2868.16
2017-10-31,2575.26,6727.67,1271.45,,175.5502,2879.74
2017-11-30,2647.58,6873.97,1275.01,,174.7404,2875.55
2017-12-29,2673.61,6903.39,1302.8,3416.5,179.9572,2901.78
2018-01-31,2823.81,7411.48,1345.14,,183.531,2874.04
2018-02-28,2713.83,7273.01,1318.31,,180.3569,2827.38
2018-03-30,2640.87,7063.45,1325.48,3474.6,179.236,2834.54
2018-04-30,2648.05,7066.27,1315.39,,183.8683,2808.25
2018-05-31,2705.27,7442.12,1298.51,,186.4731,2823.29
2018-06-29,2718.37,7510.3,1252.6,3537.5,179.9539,2806.89
2018-07-31,2816.29,7671.79,1224.15,,176.1132,2830.22
2018-08-31,2901.52,8109.54,1201.15,,172.9951,2844.2
2018-09-28,2913.98,8046.35,1190.88,3596.7,176.3125,2834.06
2018-10-31,2711.74,7305.9,1214.76,,172.5063,2792.67
2018-11-30,2760.17,7330.54,1220.52,,171.5349,2788.02
2018-12-31,2506.85,6635.28,1282.49,3646.1,159.7202,2829.02
2019-01-31,2704.1,7281.74,1321.25,,168.4193,2895.56
2019-02-28,2784.49,7532.53,1313.32,,170.1244,2901.84
2019-03-29,2834.4,7729.32,1292.38,3711.9,169.8207,2974.53
2019-04-30,2945.83,8095.39,1283.53,,169.1048,2990.68
2019-05-31,2752.06,7453.15,1305.58,,163.4152,3033.54
2019-06-28,2941.76,8006.24,1409.55,3767.8,167.8037,3107.73
2019-07-31,2980.38,8175.42,1413.78,,166.6751,3125.11
2019-08-30,2926.46,7962.88,1520.38,,162.809,3223.39
2019-09-30,2976.74,7999.34,1472.49,3821.0,164.7214,3202.42
2019-10-31,3037.56,8292.36,1512.99,,168.052,3221.86
2019-11-29,3140.98,8665.47,1463.98,,163.749,3229.97
2019-12-31,3230.78,8972.6,1517.27,3880.2,172.0042,3240.3
2020-01-31,3225.52,9150.94,1589.16,,159.3501,3316.29
2020-02-28,2954.22,8567.37,1585.69,,151.3185,3360.66
2020-03-31,2584.59,7700.1,1577.18,3907.9,131.9359,3122.54
2020-04-30,2912.43,8889.55,1686.5,,129.9062,3286.26
2020-05-29,3044.31,9489.87,1730.27,,135.5447,3337.67
2020-06-30,3100.29,10058.77,1780.96,3869.0,138.6382,3403.1
2020-07-31,3271.12,10745.27,1975.86,,146.551,3513.73
2020-08-31,3500.31,11775.46,1967.8,,156.4625,3465.28
2020-09-30,3363.0,11167.51,1885.82,3897.6,151.2189,3455.36
2020-10-30,3269.96,10911.59,1878.81,,153.349,3449.14
2020-11-30,3621.63,12198.74,1776.95,,158.7354,3545.23
2020-12-31,3756.07,12888.28,1898.36,3942.3,166.631,3560.67
2021-01-29,3714.24,13070.69,1847.65,,171.0062,3514.98
2021-02-26,3811.15,13192.35,1734.04,,182.0712,3454.43
2021-03-31,3972.89,13246.87,1707.71,4010.0,178.1622,3395.15
2021-04-30,4181.17,13962.68,1769.13,,192.933,3432.76
2021-05-31,4204.11,13748.74,1906.87,,198.197,3459.13
2021-06-30,4297.5,14503.95,1770.11,4154.0,201.8662,3515.56
2021-07-30,4395.26,14672.68,1814.19,,205.5776,3563.68
2021-08-31,4522.68,15259.24,1813.62,,204.9696,3552.9
2021-09-30,4307.54,14448.58,1756.95,4371.2,215.1673,3515.5
2021-10-29,4605.38,15498.39,1783.38,,220.7274,3524.22
2021-11-30,4567.0,15537.69,1774.52,,204.591,3526.39
2021-12-31,4766.18,15644.97,1829.2,4640.0,211.8033,3523.57
2022-01-31,4515.55,14239.88,1797.17,,230.397,3404.96
2022-02-28,4373.94,13751.4,1908.99,,244.7501,3336.85
2022-03-31,4530.41,14220.52,1937.44,4887.1,265.9137,3252.71
2022-04-29,4131.93,12334.64,1896.93,,276.9244,3074.85
2022-05-31,4132.15,12081.39,1837.35,,281.1473,3103.56
2022-06-30,3785.38,11028.74,1807.27,5045.2,250.8549,3016.66
2022-07-29,4130.29,12390.69,1765.94,,261.5476,3114.32
2022-08-31,3955.0,11816.2,1711.04,,261.778,3022.99
2022-09-30,3585.62,10575.62,1660.61,5073.9,240.5519,2864.12
2022-10-31,3871.98,10988.15,1633.56,,245.3416,2834.5
2022-11-30,4080.11,11468.0,1768.52,,252.0594,2981.28
2022-12-30,3839.5,10466.48,1824.02,4896.3,245.8892,2968.2
2023-01-31,4076.6,11584.55,1928.36,,244.6844,3087.13
2023-02-28,3970.15,11455.54,1826.92,,233.1867,2988.93
2023-03-31,4109.31,12221.91,1969.28,4807.5,232.7065,3072.15
2023-04-28,4169.48,12226.58,1990.0,,230.9578,3095.67
2023-05-31,4179.83,12935.29,1962.73,,217.9403,3050.83
